obec,url,municipality_kod
Zadní Chodov,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=228232},541362.0
Oslavička,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=31930},511412.0
Kolová,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Kolova/A_Textova_cast/%C3%9Apln%C3%A9%20zn%C4%9Bn%C3%AD%20po%20Z1%20%C3%9APK.pdf},555258.0
Úpice,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579777_137518_PS.pdf},579777.0
Sezimovo Ústí,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=64143},553069.0
Toužim,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Touzim/A_Textova_cast/UP_Touzim_textova_cast.pdf},555657.0
Mrač,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/530204_Mra%E8/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/530204_UP_PRV_STAV_03_2019_Mra%E8_ORG_Oprava/Textov%E1%20%E8%E1st.pdf},530204.0
Verušičky,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Verusicky/A_Textova_cast/UP_Verusicky_textova_cast_komplet.pdf},555711.0
Netvořice,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/530298_Netvo%F8ice/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/530298_UP_PRV_STAV_02_2022_Netvorice_ORG/UP_Netvo%F8ice_text_UZ_po_Z1_Z2.pdf},530298.0
Velké Svatoňovice,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579785_138304_PS.pdf},579785.0
Strachujov,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=3833},596809.0
Pokojov,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=36678},596477.0
